Designator,Mid X,Mid Y,Rotation,Layer
C1,71.755,-33.02,0.0,top
C10,90.805,-59.055,90.0,top
C11,90.805,-55.88,90.0,top
C12,78.105,-53.34,0.0,bottom
C13,75.565,-64.135,0.0,bottom
C14,68.72,-64.135,0.0,bottom
C15,60.96,-64.135,180.0,bottom
C16,91.44,-62.23,0.0,top
C17,67.31,-57.15,0.0,bottom
C18,64.135,-57.15,0.0,bottom
C19,87.63,-58.42,0.0,top
C2,55.245,-48.26,180.0,top
C20,81.915,-52.705,0.0,top
C21,77.47,-33.655,180.0,top
C22,55.245,-46.355,180.0,top
C23,52.07,-48.26,0.0,top
C24,52.07,-46.355,0.0,top
C25,50.165,-47.625,0.0,bottom
C26,87.63,-53.34,0.0,top
C27,87.63,-55.88,0.0,top
C28,77.47,-35.56,180.0,top
C29,90.17,-40.005,0.0,top
C3,68.58,-33.02,0.0,top
C30,77.47,-37.465,180.0,top
C31,90.31,-32.415,0.0,top
C32,90.31,-34.29,0.0,top
C33,90.31,-36.195,0.0,top
C34,90.31,-38.1,0.0,top
C35,88.9,-70.485,0.0,bottom
C36,82.55,-82.55,180.0,bottom
C37,74.93,-70.485,0.0,bottom
C38,60.96,-70.485,0.0,bottom
C39,46.99,-70.485,0.0,bottom
C4,67.31,-55.245,0.0,bottom
C40,99.06,-57.15,270.0,top
C41,97.79,-56.515,270.0,bottom
C42,53.34,-82.55,0.0,bottom
C43,90.805,-33.655,0.0,bottom
C44,90.805,-32.385,0.0,bottom
C45,90.805,-34.925,0.0,bottom
C46,83.185,-41.275,0.0,top
C47,90.015,-41.275,0.0,top
C48,87.63,-40.005,270.0,top
C49,73.66,-37.465,0.0,bottom
C5,78.105,-51.435,0.0,bottom
C50,50.165,-43.815,90.0,top
C51,70.485,-37.465,0.0,bottom
C52,67.31,-46.99,180.0,bottom
C53,70.485,-46.99,0.0,bottom
C54,64.77,-42.545,270.0,bottom
C55,88.9,-45.72,0.0,bottom
C56,88.9,-50.165,270.0,bottom
C57,87.63,-56.515,270.0,bottom
C58,87.63,-34.925,180.0,top
C6,64.135,-55.245,0.0,bottom
C7,78.105,-47.625,180.0,bottom
C8,58.42,-52.705,0.0,bottom
C9,87.63,-60.96,0.0,top
D1,80.645,-49.53,0.0,top
D2,54.61,-44.45,0.0,top
D3,86.36,-33.655,180.0,top
J1,67.945,-81.895,180.0,top
J2,47.6,-38.705,0.0,top
J3,39.37,-58.42,270.0,top
J4,39.37,-69.85,270.0,top
J5,68.58,-21.1975,180.0,bottom
J6,71.12,-29.82,270.0,top
J8,94.005,-43.205,180.0,top
L1,83.185,-48.895,90.0,bottom
L2,85.725,-37.465,0.0,top
PS1,85.09,-43.815,180.0,top
Q1,87.20225,-66.675,0.0,top
Q10,49.10225,-66.675,0.0,top
Q11,56.72225,-73.025,0.0,top
Q12,49.10225,-73.025,0.0,top
Q13,48.895,-59.89725,270.0,top
Q14,48.895,-52.705,270.0,top
Q15,55.245,-59.89725,270.0,top
Q16,55.245,-52.705,270.0,top
Q2,79.58225,-73.025,0.0,top
Q3,87.20225,-73.025,0.0,top
Q4,79.58225,-66.675,0.0,top
Q5,71.96225,-66.675,0.0,top
Q6,64.34225,-66.675,0.0,top
Q7,71.96225,-73.025,0.0,top
Q8,64.34225,-73.025,0.0,top
Q9,56.72225,-66.675,0.0,top
R1,77.915,-47.625,180.0,top
R10,78.74,-64.135,180.0,bottom
R11,86.36,-64.135,0.0,bottom
R12,64.77,-64.135,180.0,bottom
R13,72.39,-64.135,180.0,bottom
R14,80.01,-78.105,0.0,top
R15,50.99,-64.135,180.0,bottom
R16,57.785,-64.135,0.0,bottom
R17,55.88,-78.105,0.0,top
R18,50.165,-37.465,270.0,top
R19,50.165,-40.64,270.0,top
R2,77.915,-45.72,0.0,top
R20,41.91,-50.8,180.0,top
R21,38.735,-50.8,180.0,top
R22,50.165,-49.53,0.0,bottom
R23,41.275,-57.785,270.0,bottom
R24,44.45,-61.595,180.0,bottom
R25,83.825,-26.5,0.0,bottom
R26,83.185,-33.655,180.0,top
R27,68.135,-27.94,0.0,bottom
R28,90.17,-41.91,180.0,bottom
R29,90.17,-38.1,180.0,bottom
R3,58.42,-50.8,180.0,bottom
R30,90.17,-36.195,180.0,bottom
R31,71.755,-27.94,180.0,bottom
R34,70.485,-41.275,0.0,bottom
R35,64.77,-45.72,90.0,bottom
R36,66.675,-44.005,270.0,bottom
R37,91.44,-46.99,90.0,top
R38,91.44,-46.99,270.0,bottom
R39,84.455,-46.355,180.0,top
R4,58.42,-54.61,180.0,bottom
R40,70.485,-45.085,180.0,bottom
R5,70.485,-55.245,180.0,bottom
R6,78.105,-49.53,0.0,bottom
R7,76.835,-52.705,270.0,top
R8,58.42,-59.055,180.0,bottom
R9,58.42,-57.15,0.0,bottom
U1,67.945,-56.4484,180.0,top
U2,39.385,-46.47,180.0,top
U3,56.515,-34.925,90.0,top
U4,81.915,-37.465,90.0,bottom
U5,81.28,-58.42,180.0,top
U6,81.915,-36.83,0.0,top
U7,67.945,-43.18,180.0,top
U8,87.9775,-49.177498,0.0,top
Y1,72.39,-34.29,0.0,bottom
