Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C24, C25, C3",0603,6,2200pF,
"C10, C11, C12, C13, C14, C15, C21, C23, C30, C31, C32, C33, C34, C50",0603,14,0.1uF,
"C16, C19, C26, C27, C28, C9",0805,6,4.7uF,
"C2, C22, C29, C52, C53, C54, C6, C8",0603,8,2.2µF,
C20,CP_EIA-6032-28_Kemet-C,1,68uF,
"C35, C36, C37, C38, C39, C40, C41, C42",C_Elec_10x10.2,8,470uF,
C4,0603,1,0.022µF,
"C43, C44, C45",0402,3,22nF,
C46,0402,1,10uF,
"C47, C48",0402,2,4.7uF,
"C49, C51",0603,2,10pF,
C5,0603,1,82pF,
C55,0603,1,1uF,
C56,1210,1,2.2uF,
C57,2225,1,22uf,
C58,0402,1,270pF,
C7,0603,1,270pF,
"D1, D2",D_SOD-123F,2,D,
D3,0603,1,LTST-C190KGKT,
J1,TerminalBlock_MetzConnect_Type011_RT05503HBWC_1x03_P5.00mm_Horizontal,1,Screw_Terminal_01x03,
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"J3, J4",TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,2,Screw_Terminal_01x02,
J5,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J6,PinSocket_1x16_P2.54mm_Vertical,1,Conn_01x16_Socket,
J8,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
L1,L_Taiyo-Yuden_NR-60xx,1,22uH,
L2,0805,1,6.8uH,
PS1,R_Array_SIP4,1,B0505S-1WR3,
"Q1, Q10, Q12, Q14, Q15, Q16, Q2, Q3, Q4, Q5, Q6, Q8, Q9",ONSemi_SO-8FL_488AA,13,~,
"Q11, Q13, Q7",ONSemi_SO-8FL_488AA,3,FILL_FOOTPRINT,
"R1, R35, R5",0603,3,18k,
"R10, R11, R12, R13, R15, R16, R20, R21",0603,8,2.2R,
"R14, R17, R24",2512,3,500uOhm,
"R18, R19, R3, R4",0603,4,22R,
"R2, R28, R29, R30",0603,4,3.3k,
"R22, R23, R25, R8, R9",0603,5,120R,
"R26, R36",0603,2,1k,
"R27, R31",0603,2,5.1k,
"R34, R6",0603,2,47K,
R37,0603,1,40.2k,
"R38, R40",0603,2,10k,
R39,0603,1,11.3k,
R7,0603,1,220k,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_1.0x1.0mm,5,TESTPOINT,
U1,HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,1,~,
U2,WSON-8-1EP_4x4mm_P0.8mm_EP2.6x3mm,1,~,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,~,
U4,SOP-8_6.62x9.15mm_P2.54mm,1,ISO1050DUB,
U5,SOT-223,1,LDL1117S33R,
U6,SOT-23-5,1,LP5907MFX-3.3_NOPB,
U7,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U8,RDN0011A-MFG,1,TPSM365R6FRDNR,
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,ABM3B-8.000MHZ-10-1-U-T,
